"ประทับเวลา","Name_TH","Name_Eng","Kind","RATE","Review","Mood","DATE_TIME","Weather","Temperature"
"2565/04/27 8:11:12 หลังเที่ยง GMT+7","หอยทอด","Fried mussel pancakes","10_FAT","9","อร่อยมาก กรอบ","9","2022-04-11 08:00","Sunny =แดดจัด","36"
"2565/04/27 8:13:05 หลังเที่ยง GMT+7","ข้าวคลุกกะปิ","Shrimp-paste fried rice","4_Meat and Poultry","8","เค็มกำลังพอดี","8","2022-04-03 08:00","Sunny =แดดจัด","35"
"2565/04/27 8:19:35 หลังเที่ยง GMT+7","ขนมจีนแกงไตปลา","Kanomjeenkangthaipla","9_Carbohydrates","7","หรอย","7","2022-04-27 16:00","Sweltering =ร้อนระอุ","37"
"2565/04/27 8:22:39 หลังเที่ยง GMT+7","ผัดไทย","Pat thai","9_Carbohydrates","10","มันอร่อย","10","2022-04-06 12:50","Sweltering =ร้อนระอุ","35"
"2565/04/27 8:24:14 หลังเที่ยง GMT+7","ต้มยำโป๊ะแตก","Seafood spicy tomyum","5_Fish and Seafood","10","แซ่บมาก","9","2022-04-05 15:00","Cold =เย็น","25"
"2565/04/27 8:25:26 หลังเที่ยง GMT+7","เส้นใหญ่เย็นตาโฟ","Sticky big noodle with pink sweet thai sauce","9_Carbohydrates","10","ไม่อร่อยเลย ของโรงเรียนเตรียมทหาร","1","2022-04-27 19:00","Sweltering =ร้อนระอุ","40"
"2565/04/27 8:26:28 หลังเที่ยง GMT+7","ผัดเส้นเล็กไก่","Small noodle stir with big fat chicken ","4_Meat and Poultry","4","จืดชืด","3","2022-04-07 10:00","Clear =แจ่มใส","27"
"2565/04/27 8:27:28 หลังเที่ยง GMT+7","สลัดผลไม้และแตงกวาดอง","Fruits salad and pickles","2_Fruits","1","เหมือนจะบูด","1","2022-04-07 19:00","Sunny =แดดจัด","36"
"2565/04/27 8:29:51 หลังเที่ยง GMT+7","กุ้งต้มและเหล้า","Shrimp cocktel and whiskey","8_Other","10","ม่วนคักๆ ยิ่งตอนได้กินกับเพื่อน","10","2022-04-08 23:50","Cold =เย็น","21"
"2565/04/27 8:31:15 หลังเที่ยง GMT+7","หมูบาร์บีคิวกับเบียร์","Big fat pork bbq and beer","10_FAT","10","อร่อยมาก ยิ่งเบียร์เย็นๆนี่ทั้งเมาทั้งลื่นคอ","10","2022-04-08 22:00","Stormy =มีพายุ","34"
"2565/04/27 8:32:40 หลังเที่ยง GMT+7","อกไก่ต้มน้ำท่อม","Chicken breast boiled with kra tom leaves","4_Meat and Poultry","10","ดีดจัดตอนกินเสร็จ","10","2022-04-09 01:30","Stormy =มีพายุ","21"
"2565/04/27 8:33:58 หลังเที่ยง GMT+7","กะเพราปลาฉลาม ไข่ดาว","Fried basil leaves with shark meat on top with fried egg","5_Fish and Seafood","10","เนื้อปลาแน่น หยาบทรายๆ ไม่อร่อย","4","2022-04-10 20:00","Rainy =ที่ฝนตก","30"
"2565/04/27 8:35:14 หลังเที่ยง GMT+7","นมต้มใบเตย","Boiled mike with pandan leaves","6_Dairy Foods","10","หอม","10","2022-04-13 12:00","Cold =เย็น","30"
"2565/04/27 8:36:34 หลังเที่ยง GMT+7","ซอยจุ กับไอศกรีม","Raw beef with spicy sour sauce and ice cream","7_Desert","9","ก็เข้ากันดี","10","2022-04-14 04:30","Frosty =หนาวจัด","15"
"2565/04/27 8:51:25 หลังเที่ยง GMT+7","หมูกระเทียม","Stir fried garlic and pork","4_Meat and Poultry","10","มันเค็มอร่อย","10","2022-04-13 15:00","Stormy =มีพายุ","30"
"2565/04/27 8:53:35 หลังเที่ยง GMT+7","หอยแครงลวกจิ้ม","Cockles and sour dipping sauce","5_Fish and Seafood","10","คาว นุ่ม อร่อย","10","2022-04-14 08:00","Sunny =แดดจัด","34"
"2565/04/27 9:54:21 หลังเที่ยง GMT+7","ข้าวผัดไข่","Egg Fried Rice","9_Carbohydrates","8","เป็นอาหารทำเอง มีใส่ผัก 3 สีด้วย ปรุงรสจืดไปหน่อยนึง","10","2022-04-11 14:32","Sunny =แดดจัด","35"
